CMDLINE /home/diatomstone/.venvs/pytorch/bin/python3 train.py --steps 500 --config small --generate --prompt Alice
MEM 0.601562 1775445701.5242
MEM 20.625000 1775445701.6246
MEM 32.953125 1775445701.7249
MEM 56.812500 1775445701.8251
MEM 72.718750 1775445701.9259
MEM 73.074219 1775445702.0262
MEM 73.332031 1775445702.1265
MEM 73.839844 1775445702.2269
MEM 74.855469 1775445702.3279
MEM 73.480469 1775445702.4282
MEM 75.175781 1775445702.5284
MEM 74.414062 1775445702.6287
MEM 74.667969 1775445702.7299
MEM 75.683594 1775445702.8302
MEM 73.820312 1775445702.9304
MEM 72.933594 1775445703.0307
MEM 73.976562 1775445703.1311
MEM 74.992188 1775445703.2319
MEM 73.851562 1775445703.3322
MEM 72.957031 1775445703.4324
MEM 73.593750 1775445703.5329
MEM 75.882812 1775445703.6339
MEM 72.960938 1775445703.7342
MEM 73.687500 1775445703.8345
MEM 73.816406 1775445703.9348
MEM 74.070312 1775445704.0359
MEM 72.535156 1775445704.1362
MEM 75.085938 1775445704.2364
MEM 73.132812 1775445704.3367
MEM 73.769531 1775445704.4379
MEM 73.894531 1775445704.5382
MEM 74.179688 1775445704.6385
MEM 74.179688 1775445704.7388
MEM 73.847656 1775445704.8390
MEM 74.867188 1775445704.9399
MEM 74.867188 1775445705.0401
MEM 73.996094 1775445705.1404
MEM 75.011719 1775445705.2409
MEM 73.171875 1775445705.3412
MEM 74.187500 1775445705.4419
MEM 72.960938 1775445705.5422
MEM 74.882812 1775445705.6429
MEM 73.816406 1775445705.7431
MEM 74.988281 1775445705.8434
MEM 73.847656 1775445705.9439
MEM 74.355469 1775445706.0442
MEM 74.480469 1775445706.1449
MEM 72.410156 1775445706.2451
MEM 73.445312 1775445706.3454
MEM 75.707031 1775445706.4459
MEM 74.460938 1775445706.5462
MEM 74.460938 1775445706.6471
MEM 73.574219 1775445706.7474
MEM 74.734375 1775445706.8479
MEM 75.640625 1775445706.9482
MEM 76.167969 1775445707.0489
MEM 74.480469 1775445707.1492
MEM 74.480469 1775445707.2495
MEM 75.371094 1775445707.3498
MEM 74.480469 1775445707.4509
MEM 75.367188 1775445707.5512
MEM 75.332031 1775445707.6514
MEM 73.175781 1775445707.7517
MEM 75.097656 1775445707.8519
MEM 73.007812 1775445707.9529
MEM 74.929688 1775445708.0532
MEM 75.960938 1775445708.1534
MEM 75.945312 1775445708.2537
MEM 73.914062 1775445708.3549
MEM 73.914062 1775445708.4552
MEM 73.886719 1775445708.5554
MEM 73.886719 1775445708.6557
MEM 74.910156 1775445708.7560
MEM 73.878906 1775445708.8569
MEM 73.734375 1775445708.9572
MEM 74.785156 1775445709.0574
MEM 72.644531 1775445709.1577
MEM 73.675781 1775445709.2589
MEM 74.707031 1775445709.3592
MEM 76.125000 1775445709.4595
MEM 73.410156 1775445709.5597
MEM 76.363281 1775445709.6600
MEM 74.441406 1775445709.7609
MEM 75.308594 1775445709.8612
MEM 75.093750 1775445709.9614
MEM 73.156250 1775445710.0619
MEM 75.078125 1775445710.1621
MEM 72.503906 1775445710.2629
MEM 75.457031 1775445710.3632
MEM 72.507812 1775445710.4634
MEM 75.460938 1775445710.5639
MEM 74.445312 1775445710.6642
MEM 73.539062 1775445710.7659
MEM 75.464844 1775445710.8662
MEM 73.542969 1775445710.9664
MEM 74.449219 1775445711.0667
