net,length_um
_06283_,137.98µm
net427,137.51µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[18\],137.48µm
net759,137.18µm
net441,137.16µm
net675,136.92µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[15\],136.78µm
net712,136.66µm
net693,136.46µm
net303,136.3µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[8\],135.94µm
net741,135.68µm
clknet_leaf_68_clk,135.47µm
net629,135.26µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[23\],135.18µm
clknet_leaf_35_clk,135µm
net713,134.48µm
net433,134.37µm
_01896_,133.36µm
net701,133.36µm
net758,133.26µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[12\],133.18µm
net798,132.88µm
net472,132.66µm
clknet_leaf_72_clk,131.92µm
net400,131.82µm
clknet_leaf_43_clk,131.195µm
net661,131.04µm
net478,130.94µm
net189,130.69µm
clknet_leaf_83_clk,130.32µm
net585,129.84µm
_00527_,129.385µm
net647,129.11µm
net620,128.305µm
clknet_leaf_34_clk,128.24µm
net751,127.83µm
net662,127.53µm
net747,127.02µm
net199,126.86µm
net764,126.78µm
net145,126.62µm
clknet_leaf_57_clk,126.62µm
clknet_leaf_53_clk,126.26µm
clknet_leaf_27_clk,126.12µm
net646,125.91µm
net531,125.56µm
net4,125.44µm
_06281_,125.4µm
net533,125.13µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[13\],124.94µm
net614,124.88µm
net482,124.57µm
net213,124.54µm
net817,124.52µm
clknet_leaf_55_clk,123.755µm
net586,123.32µm
net658,123.12µm
net793,122.51µm
net315,122.28µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[29\],122.08µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[14\],121.63µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[1\],121.34µm
net644,121.32µm
clknet_leaf_10_clk,121.15µm
net652,120.625µm
net499,119.95µm
net603,119.66µm
clknet_leaf_5_clk,119.31µm
net291,119.08µm
net797,118.9µm
net460,118.63µm
net615,118.46µm
_00962_,118.035µm
net663,117.85µm
net486,117.72µm
clknet_leaf_36_clk,117.64µm
net605,117.59µm
net816,117.36µm
clknet_leaf_45_clk,117.235µm
net710,117.2µm
net768,117.06µm
net826,116.96µm
clknet_leaf_82_clk,116.66µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[28\],116.04µm
net814,115.75µm
net621,115.62µm
net389,115.54µm
clknet_leaf_48_clk,115.08µm
clknet_leaf_13_clk,115.06µm
net762,114.94µm
clknet_leaf_31_clk,114.78µm
net393,114.72µm
clknet_leaf_22_clk,114.62µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[0\],114.57µm
net350,114.56µm
net7,114.28µm
_00956_,113.935µm
net392,113.72µm
net312,113.71µm
clknet_leaf_84_clk,113.7µm
net579,113.52µm
clknet_leaf_6_clk,113.5µm
net801,113.34µm
_03752_,113.22µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[16\],113.22µm
net660,113.19µm
net648,113.18µm
net120,113.12µm
net201,113.09µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[5\],112.74µm
net599,112.12µm
net390,111.88µm
_01146_,111.86µm
net278,111.76µm
net609,111.57µm
net498,111.48µm
net788,111.45µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[18\],111.335µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[17\],111.28µm
clknet_leaf_16_clk,111.26µm
_01536_,111.02µm
net195,110.88µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[11\],110.84µm
clknet_leaf_73_clk,110.62µm
net518,110.48µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[4\],110.35µm
net466,110.23µm
_03654_,110.06µm
net279,109.96µm
net288,109.93µm
net413,109.64µm
net709,109µm
net496,108.9µm
net782,108.66µm
net418,108.635µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[27\],108.42µm
clknet_leaf_50_clk,108.28µm
_04921_,108.16µm
net516,108.145µm
net184,108.06µm
net491,107.91µm
net111,107.8µm
net485,107.64µm
net664,107.46µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[18\],107.42µm
net404,107.085µm
net445,107µm
clknet_leaf_26_clk,106.6µm
_03130_,106.5µm
net304,106.46µm
net11,106.4µm
net800,106.4µm
_00525_,106.3µm
net480,106.04µm
net186,105.96µm
net571,105.86µm
clknet_leaf_75_clk,105.85µm
_04226_,105.535µm
clknet_leaf_58_clk,105.28µm
net122,105.24µm
net618,105µm
net474,104.73µm
net611,104.705µm
net512,104.47µm
net815,104.13µm
net601,104.12µm
net342,103.82µm
net820,103.775µm
net484,103.53µm
net395,103.47µm
net436,103.42µm
_01541_,103.31µm
net476,103.16µm
net335,102.96µm
net469,102.87µm
clknet_leaf_40_clk,102.65µm
net542,102.175µm
clknet_leaf_63_clk,101.355µm
net298,101.18µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[27\],101.16µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[29\],101.01µm
clknet_leaf_2_clk,100.98µm
_06290_,100.92µm
_05100_,100.9µm
net412,100.89µm
net805,100.8µm
clknet_leaf_69_clk,100.78µm
net602,100.71µm
net306,100.61µm
net626,100.56µm
_05030_,100.54µm
clknet_leaf_67_clk,100.36µm
net191,99.9µm
clknet_leaf_41_clk,99.78µm
net411,99.52µm
net827,99.48µm
net812,99.38µm
net642,99.32µm
clknet_leaf_9_clk,99.3µm
net520,99.26µm
net326,99.2µm
net508,99.05µm
net384,98.96µm
net796,98.77µm
net205,98.73µm
net802,98.64µm
_05000_,98.18µm
clknet_leaf_76_clk,98.16µm
net434,97.98µm
clknet_leaf_18_clk,97.66µm
net464,97.535µm
net340,97.46µm
net777,97.42µm
net828,97.24µm
_03657_,96.95µm
clknet_leaf_52_clk,96.87µm
_05101_,96.74µm
clknet_leaf_66_clk,96.72µm
net168,96.54µm
_03126_,96.22µm
_03757_,96.17µm
net356,96.12µm
net666,96.11µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[30\],96.1µm
_00961_,96.025µm
net594,95.67µm
net781,95.59µm
clknet_leaf_87_clk,95.58µm
net799,95.56µm
clknet_leaf_59_clk,95.38µm
clknet_leaf_47_clk,95.32µm
net502,95.2µm
net573,94.99µm
net117,94.98µm
net592,94.82µm
_00529_,94.805µm
net167,94.77µm
net459,94.58µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[28\],94.49µm
clknet_leaf_14_clk,94.46µm
net589,94.315µm
net494,94.24µm
net489,94.12µm
net668,94.065µm
net308,94.06µm
net296,94µm
net196,93.86µm
net704,93.84µm
net575,93.8µm
clknet_leaf_4_clk,93.78µm
clknet_leaf_64_clk,93.72µm
net370,93.66µm
net402,93.65µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[1\],93.62µm
net583,93.58µm
net523,93.48µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[15\],93.4µm
net511,93.3µm
net440,93.22µm
net811,93.195µm
_05129_,93.05µm
_00959_,92.845µm
net398,92.32µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[7\],92.3µm
net565,91.74µm
net324,91.66µm
net452,91.56µm
net715,91.5µm
net302,91.37µm
net458,91.36µm
net380,91.35µm
_01128_,91.245µm
_00943_,91.2µm
net310,91.005µm
clknet_leaf_65_clk,90.86µm
net670,90.32µm
net368,90.16µm
clknet_leaf_60_clk,89.96µm
net529,89.76µm
net804,89.6µm
net625,89.58µm
net410,89.5µm
net791,89.48µm
net695,89.42µm
_03970_,88.9µm
net462,88.89µm
net401,88.855µm
_05024_,88.78µm
clknet_leaf_56_clk,88.7µm
net194,88.66µm
net641,88.6µm
clknet_leaf_37_clk,88.54µm
_03524_,88.35µm
net813,88.19µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[25\],88.1µm
net483,87.98µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[1\],87.74µm
net163,87.64µm
net640,87.64µm
net372,87.52µm
net465,87.52µm
net164,87.46µm
net821,87.4µm
_01100_,87.36µm
net711,87.315µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[14\],87.2µm
u_interface.core_data_out\[20\],87.1µm
net810,87µm
net354,86.96µm
net314,86.895µm
clknet_leaf_85_clk,86.8µm
net703,86.78µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[25\],86.7µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[25\],86.66µm
net39,86.56µm
_01435_,86.52µm
net823,86.52µm
net808,86.5µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[21\],86.3µm
net468,86.2µm
net597,86.19µm
net577,86.12µm
net655,85.54µm
_01673_,85.45µm
clknet_leaf_33_clk,85.3µm
net364,85.1µm
net514,85.1µm
_02600_,84.98µm
net300,84.88µm
net794,84.84µm
net1,84.69µm
_03979_,84.64µm
net162,84.57µm
_00942_,84.56µm
net182,84.38µm
net567,84.34µm
net386,84.04µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[9\],84.01µm
net694,83.91µm
net346,83.84µm
net455,83.76µm
net569,83.72µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[26\],83.715µm
net295,83.5µm
net807,83.46µm
net133,83.32µm
net438,83.315µm
net492,83.3µm
net456,83.29µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[16\],83.22µm
net650,83.18µm
net463,83.17µm
_01825_,83.14µm
net378,83.1µm
net659,83.07µm
net501,83.04µm
net382,82.84µm
net202,82.79µm
net397,82.79µm
net281,82.785µm
u_interface.u_gelu_fp32.s1_data\[16\],82.695µm
net454,82.64µm
net338,82.62µm
net352,82.58µm
net584,82.52µm
net686,82.34µm
net783,82.04µm
clknet_leaf_19_clk,81.92µm
clknet_leaf_32_clk,81.9µm
net679,81.575µm
net432,81.555µm
_00941_,81.545µm
clknet_leaf_78_clk,81.46µm
clknet_leaf_38_clk,81.32µm
_03134_,81.24µm
net349,80.97µm
net417,80.915µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[2\],80.75µm
net299,80.7µm
net681,80.69µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[26\],80.54µm
_03726_,80.44µm
_00953_,80.425µm
_03661_,80.38µm
clknet_leaf_74_clk,80.38µm
net819,80.26µm
net179,79.9µm
net517,79.64µm
net825,79.62µm
net374,79.54µm
net591,79.42µm
net787,79.26µm
_05288_,79.2µm
net561,79.14µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[22\],79.02µm
net403,78.775µm
net332,78.6µm
net348,78.6µm
net280,78.44µm
clknet_leaf_15_clk,78.2µm
u_interface.core_data_out\[28\],78.02µm
net619,77.72µm
net627,77.54µm
_04912_,77.42µm
net113,77.32µm
net633,77.28µm
_05197_,77.2µm
_01542_,77.16µm
net448,77.095µm
net214,76.99µm
clknet_leaf_30_clk,76.94µm
net604,76.88µm
net344,76.84µm
_04541_,76.8µm
net495,76.375µm
clknet_leaf_80_clk,76.275µm
_04444_,76.22µm
net118,76.1µm
clknet_leaf_29_clk,75.98µm
net722,75.975µm
net140,75.96µm
net277,75.96µm
_02917_,75.88µm
u_interface.u_gelu_fp32.u_synth_top.comb_b\[18\],75.825µm
net677,75.725µm
_05222_,75.72µm
_06423_,75.67µm
net638,75.62µm
net109,75.6µm
net549,75.54µm
_00946_,75.525µm
net600,75.52µm
net803,75.44µm
net360,75.36µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[4\],75.34µm
_00954_,75.245µm
_01612_,75.2µm
_06316_,75.08µm
net563,75µm
net580,74.97µm
net697,74.74µm
net407,74.54µm
_01725_,74.52µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[11\],74.52µm
net425,74.43µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[6\],74.24µm
net535,74.24µm
net415,74.065µm
net358,74.02µm
net328,73.99µm
_04302_,73.88µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[11\],73.81µm
_04487_,73.66µm
net487,73.64µm
_04418_,73.62µm
u_interface.meta_tlast_pipe\[11\],73.6µm
_05198_,73.5µm
clknet_leaf_7_clk,73.34µm
net376,73.24µm
net513,73.24µm
net685,72.99µm
net687,72.97µm
net649,72.96µm
_04180_,72.9µm
_04419_,72.81µm
net507,72.74µm
_04489_,72.7µm
net672,72.62µm
_04849_,72.08µm
net497,72.02µm
clknet_leaf_81_clk,71.96µm
net775,71.9µm
clknet_leaf_11_clk,71.81µm
clknet_leaf_46_clk,71.81µm
net719,71.75µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[13\],71.65µm
net200,71.48µm
_03869_,71.46µm
net613,71.38µm
net776,70.94µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[13\],70.9µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[30\],70.86µm
net559,70.82µm
_05287_,70.64µm
net536,70.585µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[3\],70.4µm
_04653_,70.36µm
net198,70.34µm
_03526_,70.28µm
net333,70.2µm
net581,70.2µm
net470,70.145µm
net431,69.985µm
_05408_,69.76µm
u_interface.u_gelu_fp32.s1_data\[14\],69.555µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[0\],69.54µm
net1749,69.38µm
net578,69.06µm
net543,69.01µm
_05001_,68.87µm
_02622_,68.77µm
_01428_,68.7µm
_02872_,68.6µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[7\],68.6µm
_01782_,68.3µm
_03271_,68.26µm
net557,68.18µm
net588,68.16µm
net193,68.14µm
net538,68.105µm
_01823_,68.04µm
_06468_,67.98µm
_05381_,67.94µm
clknet_leaf_12_clk,67.82µm
net151,67.79µm
_00870_,67.735µm
_00948_,67.735µm
net505,67.56µm
_04320_,67.54µm
_04540_,67.52µm
net177,67.5µm
net1768,67.5µm
net539,67.28µm
_03950_,67.14µm
net203,67.1µm
net645,66.85µm
_01819_,66.8µm
net548,66.58µm
net115,66.3µm
_01667_,66.28µm
net385,66.24µm
net653,66.18µm
net366,66.16µm
_06320_,66.12µm
_02880_,66.075µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[5\],66µm
net560,65.94µm
net590,65.8µm
_06019_,65.74µm
net500,65.5µm
net785,65.48µm
net714,65.46µm
clknet_leaf_51_clk,65.355µm
net1743,65.16µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[17\],65.11µm
net435,64.92µm
net166,64.9µm
_03844_,64.84µm
net161,64.82µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[5\],64.72µm
net399,64.435µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[11\],64.26µm
net1757,64.24µm
net528,64.16µm
_02624_,64.08µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[12\],63.92µm
_01668_,63.86µm
net778,63.82µm
net337,63.75µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[2\],63.54µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[30\],63.42µm
net276,63.36µm
_03969_,63.3µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[7\],63.28µm
net1741,63.02µm
net447,62.89µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[6\],62.86µm
net667,62.86µm
net1763,62.8µm
net289,62.77µm
net430,62.72µm
_03615_,62.58µm
net610,62.52µm
net383,62.5µm
_03755_,62.44µm
net156,62.41µm
net461,62.36µm
net334,62.3µm
_03614_,62.26µm
net311,62.22µm
net362,62.1µm
net443,62.08µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[9\],62.04µm
net152,62.02µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[12\],62µm
net216,61.82µm
_05493_,61.8µm
net506,61.7µm
_01440_,61.68µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_clz\[2\],61.68µm
net540,61.58µm
clknet_leaf_90_clk,61.54µm
net294,61.52µm
_01614_,61.4µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[3\],61.4µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[8\],61.14µm
_06392_,61.12µm
_00871_,61.085µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[5\],60.88µm
net467,60.82µm
_01651_,60.72µm
_00952_,60.695µm
net717,60.66µm
_06422_,60.46µm
net690,60.395µm
_01682_,60.38µm
net568,60.22µm
_04066_,60.16µm
net537,60.085µm
net490,60.08µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[18\],59.9µm
u_interface.core_data_out\[25\],59.84µm
_03610_,59.74µm
_05958_,59.74µm
net598,59.72µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[31\],59.62µm
net119,59.58µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[15\],59.56µm
_03129_,59.52µm
net532,59.38µm
_02765_,59.3µm
_03951_,59.2µm
net530,58.85µm
_04301_,58.84µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[14\],58.84µm
net365,58.84µm
net493,58.62µm
_06441_,58.6µm
_02677_,58.56µm
net160,58.52µm
_04718_,58.27µm
_05662_,58.24µm
net544,58.06µm
net1772,58.06µm
_05330_,58.02µm
_04179_,57.98µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[6\],57.9µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_clz\[3\],57.9µm
net678,57.84µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[7\],57.76µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[0\],57.58µm
net343,57.56µm
net136,57.54µm
_00957_,57.525µm
_01714_,57.5µm
net651,57.4µm
clknet_leaf_23_clk,57.4µm
_04801_,57.38µm
net170,57.365µm
_05646_,57.06µm
_06250_,56.96µm
net33,56.96µm
net582,56.87µm
_01684_,56.675µm
_01650_,56.64µm
u_interface.core_data_out\[23\],56.58µm
net180,56.56µm
_01636_,56.52µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[8\],56.52µm
_00526_,56.465µm
net424,56.345µm
net1682,56.32µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[12\],56.3µm
_03843_,56.24µm
net676,56.18µm
_03464_,56.14µm
net426,56.1µm
_04652_,56.08µm
net345,56.04µm
_00030_,55.98µm
net353,55.98µm
_06327_,55.92µm
_01707_,55.88µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[11\],55.88µm
_01790_,55.855µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[6\],55.72µm
net153,55.695µm
_01872_,55.68µm
net355,55.62µm
_04390_,55.54µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[16\],55.54µm
net524,55.54µm
u_interface.core_data_out\[5\],55.4µm
_04065_,55.28µm
net786,55.28µm
net341,55.2µm
_04202_,55.06µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[19\],55.02µm
_04870_,54.94µm
net1752,54.94µm
net1761,54.9µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[1\],54.8µm
net587,54.73µm
_01753_,54.72µm
net185,54.7µm
net124,54.66µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_clz\[0\],54.6µm
_04509_,54.52µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[11\],54.48µm
net157,54.46µm
net327,54.42µm
_04614_,54.39µm
_00528_,54.38µm
_04847_,54.38µm
_01569_,54.34µm
_01696_,54.265µm
net114,54.26µm
_01680_,54.24µm
_01566_,54.2µm
_01839_,53.94µm
net576,53.94µm
_04676_,53.86µm
u_interface.u_gelu_fp32.s1_data\[17\],53.76µm
_03541_,53.64µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[10\],53.64µm
net137,53.58µm
net1744,53.42µm
_01186_,53.36µm
u_interface.u_gelu_fp32.u_synth_top.s2_b\[10\],53.24µm
_01659_,52.885µm
_03217_,52.8µm
net3,52.64µm
net275,52.64µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[30\],52.6µm
_03725_,52.5µm
clknet_leaf_86_clk,52.48µm
_05815_,52.46µm
_04737_,52.34µm
_04886_,52.3µm
_03328_,52.26µm
net313,52.2µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[5\],52.18µm
net546,52.12µm
_04176_,52.06µm
_06356_,52.005µm
_04616_,51.92µm
_04716_,51.86µm
net572,51.84µm
u_interface.core_valid_out,51.72µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[28\],51.7µm
