net,length_um
u_interface.fifo_data\[15\]\[29\],20.5µm
_01784_,20.48µm
_05117_,20.46µm
_05511_,20.46µm
_05668_,20.46µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[17\],20.44µm
_02818_,20.42µm
_05800_,20.42µm
u_interface.u_gelu_fp32.s1_data\[8\],20.42µm
u_interface.u_gelu_fp32.s2_data\[4\],20.4µm
_03741_,20.38µm
_05416_,20.38µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[19\],20.38µm
_01722_,20.36µm
_04569_,20.36µm
_06102_,20.34µm
net1371,20.34µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[9\],20.32µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[9\],20.31µm
_03008_,20.3µm
_03865_,20.3µm
_03954_,20.28µm
u_interface.fifo_data\[3\]\[17\],20.28µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[16\],20.28µm
_01169_,20.26µm
_02509_,20.26µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[13\],20.26µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[28\],20.26µm
_03401_,20.24µm
u_interface.fifo_data\[0\]\[0\],20.24µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[14\],20.24µm
_03556_,20.22µm
_04946_,20.2µm
_06355_,20.2µm
u_interface.fifo_data\[8\]\[29\],20.2µm
net1113,20.2µm
_02946_,20.18µm
_06306_,20.18µm
_04158_,20.16µm
u_interface.fifo_data\[3\]\[3\],20.14µm
u_interface.fifo_data\[8\]\[10\],20.14µm
_03904_,20.12µm
_05534_,20.12µm
net1165,20.12µm
_02337_,20.11µm
_02516_,20.1µm
_05144_,20.1µm
_01376_,20.08µm
_02853_,20.08µm
_03310_,20.08µm
_03356_,20.08µm
_06180_,20.06µm
_01140_,20.04µm
_01210_,20µm
_03001_,20µm
_03215_,20µm
_04915_,20µm
u_interface.fifo_data\[13\]\[28\],20µm
u_interface.fifo_data\[12\]\[13\],19.96µm
_02947_,19.94µm
_01282_,19.92µm
_02808_,19.92µm
_03072_,19.9µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[22\],19.9µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[29\],19.9µm
_02542_,19.895µm
u_interface.fifo_data\[4\]\[4\],19.88µm
_01396_,19.86µm
_01591_,19.86µm
_01634_,19.86µm
_02868_,19.86µm
_06309_,19.86µm
_01114_,19.84µm
_02781_,19.84µm
_03317_,19.84µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[46\],19.84µm
_01185_,19.82µm
_04635_,19.82µm
u_interface.fifo_data\[8\]\[6\],19.82µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[19\],19.82µm
_01299_,19.8µm
_03189_,19.78µm
_03321_,19.78µm
u_interface.u_gelu_fp32.s2_data\[31\],19.78µm
_05187_,19.76µm
_04351_,19.74µm
u_interface.fifo_data\[13\]\[15\],19.74µm
net110,19.74µm
_00005_,19.705µm
_01734_,19.7µm
_04271_,19.7µm
u_interface.fifo_data\[3\]\[10\],19.7µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[7\],19.7µm
_03905_,19.67µm
u_interface.fifo_data\[8\]\[26\],19.66µm
m_axis_tdata[3],19.65µm
_03730_,19.64µm
m_axis_tdata[1],19.63µm
_02758_,19.62µm
_04327_,19.62µm
_05029_,19.62µm
_00672_,19.605µm
_01177_,19.6µm
_05580_,19.6µm
_02299_,19.59µm
_01331_,19.58µm
_05195_,19.58µm
_01296_,19.54µm
_04000_,19.54µm
_03252_,19.52µm
_02285_,19.5µm
_05996_,19.495µm
_01780_,19.49µm
_03986_,19.49µm
m_axis_tdata[21],19.49µm
_05183_,19.48µm
_01719_,19.465µm
u_interface.fifo_data\[3\]\[13\],19.46µm
u_interface.u_gelu_fp32.s1_data\[30\],19.44µm
_06439_,19.42µm
u_interface.fifo_data\[8\]\[7\],19.42µm
net1294,19.4µm
_00027_,19.365µm
_00733_,19.365µm
u_interface.fifo_data\[3\]\[12\],19.36µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[44\],19.36µm
_03523_,19.34µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[23\],19.34µm
u_interface.fifo_data\[6\]\[3\],19.33µm
_01421_,19.32µm
_03914_,19.31µm
_01285_,19.3µm
_04446_,19.3µm
u_interface.u_gelu_fp32.s1_data\[6\],19.3µm
_02234_,19.28µm
_04068_,19.28µm
_05204_,19.28µm
u_interface.fifo_data\[0\]\[3\],19.28µm
_06196_,19.26µm
_02949_,19.24µm
u_interface.fifo_data\[8\]\[24\],19.24µm
_02501_,19.22µm
_04518_,19.22µm
net908,19.205µm
_01149_,19.2µm
_04787_,19.2µm
_06374_,19.18µm
u_interface.fifo_data\[7\]\[28\],19.18µm
_02291_,19.16µm
_02814_,19.16µm
_04588_,19.16µm
_00739_,19.155µm
_01880_,19.1µm
_01403_,19.08µm
_05793_,19.08µm
_01744_,19.06µm
_05338_,19.06µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[30\],19.06µm
u_interface.fifo_data\[6\]\[29\],19.045µm
_01747_,19.04µm
u_interface.fifo_tuser\[12\],19.04µm
_01632_,19.02µm
_03698_,19.02µm
u_interface.fifo_data\[10\]\[27\],19.01µm
_03662_,19µm
_03745_,19µm
_04042_,19µm
_04109_,19µm
_06346_,19µm
u_interface.fifo_data\[14\]\[5\],18.985µm
_02317_,18.98µm
_01743_,18.96µm
net1185,18.96µm
m_axis_tdata[31],18.95µm
_01715_,18.94µm
_02007_,18.94µm
_02030_,18.94µm
_06360_,18.94µm
_01787_,18.92µm
_05650_,18.92µm
u_interface.fifo_data\[7\]\[26\],18.92µm
_01766_,18.9µm
_02193_,18.9µm
u_interface.fifo_data\[0\]\[9\],18.9µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[16\],18.88µm
net68,18.87µm
_01648_,18.86µm
_03493_,18.86µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[20\],18.86µm
u_interface.fifo_data\[2\]\[3\],18.845µm
_06358_,18.84µm
_03641_,18.82µm
u_interface.u_gelu_fp32.s1_data\[20\],18.82µm
net1579,18.82µm
_05906_,18.805µm
_04802_,18.8µm
u_interface.fifo_data\[9\]\[1\],18.8µm
u_interface.u_gelu_fp32.s1_data\[23\],18.78µm
net1358,18.78µm
_00738_,18.765µm
_04417_,18.76µm
_05629_,18.76µm
_02113_,18.75µm
_02316_,18.74µm
u_interface.fifo_data\[5\]\[29\],18.74µm
u_interface.core_data_out\[12\],18.72µm
_05794_,18.7µm
net123,18.7µm
_06131_,18.68µm
_03197_,18.66µm
_04904_,18.66µm
_01232_,18.64µm
u_interface.fifo_data\[8\]\[18\],18.64µm
_01411_,18.62µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[0\],18.62µm
_01789_,18.6µm
_00609_,18.585µm
_04322_,18.58µm
_05023_,18.58µm
_01264_,18.56µm
_02224_,18.56µm
_02288_,18.56µm
_04794_,18.56µm
u_interface.fifo_data\[0\]\[20\],18.56µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[16\],18.56µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[22\],18.56µm
net89,18.56µm
net106,18.56µm
_01533_,18.54µm
_04634_,18.54µm
u_interface.fifo_data\[8\]\[17\],18.54µm
_01710_,18.52µm
_02247_,18.52µm
u_interface.fifo_data\[5\]\[22\],18.52µm
_00701_,18.505µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[21\],18.505µm
net1363,18.485µm
_01109_,18.48µm
_01301_,18.48µm
_01303_,18.48µm
_03039_,18.48µm
_02914_,18.46µm
_05516_,18.46µm
_05352_,18.445µm
_03633_,18.44µm
_03768_,18.44µm
u_interface.fifo_data\[0\]\[8\],18.44µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_clz\[4\],18.44µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[21\],18.44µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[11\],18.42µm
_04617_,18.4µm
_05502_,18.4µm
u_interface.fifo_data\[13\]\[24\],18.4µm
_05693_,18.38µm
_01406_,18.36µm
_01431_,18.36µm
_02066_,18.36µm
_05224_,18.32µm
u_interface.fifo_data\[1\]\[22\],18.32µm
net1442,18.32µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[5\],18.305µm
_01690_,18.28µm
_03266_,18.28µm
_04589_,18.26µm
_05115_,18.26µm
_06388_,18.26µm
u_interface.fifo_data\[15\]\[28\],18.26µm
_04239_,18.2µm
net16,18.2µm
_04192_,18.19µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[0\],18.19µm
_01340_,18.18µm
_01570_,18.18µm
net1540,18.18µm
_02536_,18.16µm
u_interface.fifo_data\[8\]\[25\],18.15µm
_02249_,18.14µm
_03872_,18.14µm
_05805_,18.12µm
_01239_,18.1µm
_04138_,18.1µm
_01159_,18.08µm
_04594_,18.08µm
_05240_,18.08µm
_01618_,18.06µm
_03783_,18.06µm
_05322_,18.06µm
_05389_,18.04µm
_01807_,18.02µm
_06362_,18.02µm
net127,18.02µm
_03050_,18µm
_01824_,17.98µm
_02764_,17.98µm
_03059_,17.98µm
_06417_,17.98µm
_01209_,17.96µm
_02280_,17.96µm
_03972_,17.96µm
_05914_,17.94µm
m_axis_tdata[12],17.93µm
_02134_,17.92µm
_05617_,17.9µm
u_interface.u_gelu_fp32.s1_data\[18\],17.885µm
_01332_,17.88µm
_03849_,17.88µm
net904,17.865µm
_01589_,17.86µm
_02463_,17.86µm
_06300_,17.86µm
u_interface.fifo_data\[9\]\[9\],17.86µm
_00731_,17.84µm
net1018,17.82µm
net1647,17.82µm
_02627_,17.8µm
u_interface.fifo_data\[7\]\[23\],17.8µm
_01948_,17.78µm
_02815_,17.78µm
_04039_,17.78µm
_04944_,17.78µm
_03491_,17.76µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[12\],17.76µm
_04196_,17.74µm
_03771_,17.72µm
_01890_,17.7µm
_03997_,17.7µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[7\],17.7µm
_01155_,17.68µm
u_interface.fifo_data\[11\]\[3\],17.68µm
_05850_,17.66µm
_02574_,17.64µm
_04916_,17.64µm
_05931_,17.64µm
_01161_,17.62µm
_02284_,17.62µm
_04742_,17.6µm
_05148_,17.59µm
_05935_,17.56µm
_01590_,17.54µm
_02893_,17.54µm
_04304_,17.54µm
_01908_,17.52µm
_03639_,17.52µm
_04273_,17.52µm
_04533_,17.52µm
u_interface.fifo_data\[1\]\[16\],17.52µm
_01622_,17.5µm
_03625_,17.5µm
_04254_,17.5µm
_04598_,17.5µm
_02229_,17.49µm
_02983_,17.48µm
u_interface.fifo_data\[0\]\[2\],17.48µm
u_interface.fifo_data\[8\]\[20\],17.48µm
_01367_,17.46µm
_03646_,17.46µm
_04295_,17.46µm
u_interface.fifo_data\[6\]\[25\],17.445µm
s_axil_arvalid,17.44µm
_01129_,17.42µm
_01309_,17.42µm
_05373_,17.42µm
net14,17.42µm
_01670_,17.41µm
_02548_,17.41µm
u_interface.fifo_data\[15\]\[30\],17.4µm
u_interface.u_gelu_fp32.s1_data\[4\],17.4µm
_05259_,17.38µm
_05305_,17.38µm
_02277_,17.34µm
u_interface.fifo_wr_ptr\[1\],17.34µm
_02896_,17.32µm
_01626_,17.315µm
_00497_,17.305µm
_02687_,17.3µm
_04102_,17.3µm
_02026_,17.295µm
_01786_,17.28µm
_05710_,17.28µm
u_interface.fifo_data\[2\]\[2\],17.265µm
u_interface.fifo_data\[6\]\[20\],17.25µm
_04668_,17.24µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[4\],17.24µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[30\],17.24µm
net92,17.24µm
_02296_,17.22µm
_02576_,17.22µm
m_axis_tdata[6],17.21µm
_02629_,17.2µm
_02744_,17.2µm
_02938_,17.2µm
_05255_,17.2µm
clknet_leaf_0_clk,17.2µm
_06200_,17.195µm
_01372_,17.18µm
_01703_,17.18µm
net1623,17.18µm
_03078_,17.16µm
_05241_,17.16µm
_05587_,17.16µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[12\],17.16µm
_03318_,17.15µm
_01327_,17.14µm
_02182_,17.14µm
_02259_,17.14µm
u_interface.fifo_data\[8\]\[22\],17.14µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[8\],17.14µm
_02125_,17.12µm
_02246_,17.12µm
u_interface.fifo_data\[1\]\[15\],17.12µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[28\],17.12µm
net1501,17.105µm
_01284_,17.1µm
_02873_,17.1µm
_04918_,17.1µm
u_interface.fifo_data\[12\]\[16\],17.1µm
net1786,17.1µm
_00211_,17.085µm
u_interface.fifo_tuser\[14\],17.085µm
_03105_,17.08µm
_03515_,17.08µm
_03647_,17.08µm
_03527_,17.07µm
u_interface.fifo_data\[8\]\[13\],17.06µm
u_interface.fifo_tuser\[0\],17.06µm
_01418_,17.04µm
_02569_,17.04µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[4\],17.04µm
u_interface.fifo_data\[2\]\[9\],17.025µm
_05312_,17.02µm
u_interface.fifo_data\[7\]\[29\],17.02µm
net1625,17.02µm
u_interface.fifo_data\[10\]\[4\],17.005µm
_02270_,17µm
_02521_,17µm
_02544_,17µm
m_axis_tdata[20],16.99µm
u_interface.fifo_data\[12\]\[0\],16.98µm
_03753_,16.96µm
u_interface.fifo_data\[13\]\[20\],16.96µm
net150,16.96µm
_04265_,16.94µm
_04677_,16.94µm
_04687_,16.94µm
_03629_,16.92µm
_05842_,16.92µm
_01937_,16.9µm
_05336_,16.9µm
_06267_,16.9µm
u_interface.fifo_data\[12\]\[14\],16.9µm
u_interface.fifo_data\[1\]\[3\],16.9µm
u_interface.fifo_data\[4\]\[29\],16.9µm
u_interface.fifo_data\[5\]\[14\],16.9µm
net985,16.9µm
_03531_,16.88µm
_02778_,16.86µm
_04087_,16.86µm
net844,16.86µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[17\],16.86µm
net1234,16.86µm
_01391_,16.84µm
_04713_,16.84µm
u_interface.fifo_data\[10\]\[19\],16.825µm
_03620_,16.82µm
u_interface.fifo_data\[7\]\[25\],16.8µm
_01694_,16.785µm
_05280_,16.78µm
net978,16.775µm
s_axil_bvalid,16.76µm
u_interface.fifo_data\[3\]\[14\],16.76µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[27\],16.76µm
_06396_,16.72µm
_03715_,16.7µm
_04165_,16.7µm
u_interface.fifo_data\[0\]\[31\],16.7µm
_01348_,16.68µm
net146,16.68µm
_01371_,16.64µm
_05577_,16.64µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[1\],16.64µm
_02095_,16.63µm
u_interface.fifo_data\[2\]\[14\],16.63µm
_02001_,16.62µm
_03489_,16.62µm
u_interface.fifo_data\[11\]\[27\],16.6µm
u_interface.fifo_data\[11\]\[29\],16.6µm
_02738_,16.58µm
u_interface.fifo_data\[0\]\[21\],16.58µm
_02101_,16.56µm
_03763_,16.56µm
_04441_,16.56µm
u_interface.fifo_data\[1\]\[1\],16.56µm
u_interface.fifo_data\[9\]\[20\],16.56µm
_04060_,16.555µm
_04510_,16.54µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[36\],16.54µm
_05250_,16.52µm
_06057_,16.52µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[17\],16.52µm
_01884_,16.5µm
_01288_,16.48µm
_02092_,16.48µm
_03834_,16.48µm
u_interface.fifo_data\[13\]\[16\],16.48µm
_01904_,16.46µm
_04227_,16.46µm
net1462,16.46µm
_02833_,16.44µm
u_interface.fifo_data\[3\]\[7\],16.44µm
_01607_,16.4µm
_02152_,16.4µm
_02593_,16.4µm
_04325_,16.4µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[54\],16.4µm
_01280_,16.38µm
_01597_,16.38µm
net1269,16.38µm
net1591,16.38µm
_01712_,16.36µm
_02941_,16.36µm
_03436_,16.36µm
_04994_,16.36µm
_01672_,16.34µm
_02580_,16.34µm
_02702_,16.34µm
_03468_,16.34µm
u_interface.fifo_data\[8\]\[19\],16.34µm
u_interface.fifo_tuser\[6\],16.325µm
_01971_,16.32µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[25\],16.32µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[8\],16.32µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[18\],16.32µm
m_axis_tdata[19],16.31µm
_01580_,16.3µm
_05041_,16.3µm
_05749_,16.3µm
_05792_,16.3µm
u_interface.fifo_data\[1\]\[24\],16.3µm
u_interface.fifo_data\[7\]\[0\],16.3µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[7\],16.3µm
net1339,16.3µm
net1566,16.3µm
_03322_,16.28µm
_04300_,16.28µm
_06120_,16.28µm
_05262_,16.27µm
_01243_,16.26µm
_05191_,16.26µm
_01287_,16.24µm
_02318_,16.24µm
u_interface.fifo_data\[10\]\[26\],16.225µm
u_interface.fifo_data\[6\]\[27\],16.225µm
_02023_,16.22µm
_02252_,16.22µm
_04481_,16.22µm
_05351_,16.22µm
_05422_,16.22µm
_06121_,16.22µm
net96,16.22µm
_03578_,16.215µm
_02306_,16.2µm
u_interface.core_data_out\[8\],16.2µm
net901,16.185µm
_01473_,16.18µm
_03704_,16.18µm
_03767_,16.18µm
_05773_,16.18µm
net1756,16.18µm
_01882_,16.16µm
_02488_,16.16µm
_04335_,16.16µm
_04766_,16.16µm
u_interface.u_gelu_fp32.s1_data\[0\],16.16µm
_01977_,16.14µm
_04675_,16.14µm
u_interface.fifo_data\[7\]\[24\],16.14µm
u_interface.fifo_data\[9\]\[29\],16.14µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[17\],16.14µm
_00828_,16.12µm
_01213_,16.12µm
_02010_,16.12µm
_06265_,16.12µm
s_axis_tdata[10],16.12µm
_02328_,16.1µm
_05953_,16.1µm
u_interface.fifo_data\[5\]\[20\],16.1µm
u_interface.fifo_tlast\[11\],16.1µm
net1778,16.09µm
_02412_,16.08µm
_04552_,16.06µm
_04846_,16.04µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[5\],16.04µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[2\],16.04µm
_00368_,16.025µm
_01966_,16.02µm
_02620_,16.02µm
_03383_,16.02µm
u_interface.fifo_data\[13\]\[4\],16.02µm
_02137_,16µm
_03451_,16µm
net1488,16µm
_01198_,15.98µm
u_interface.fifo_data\[1\]\[26\],15.96µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[6\],15.96µm
_03697_,15.95µm
u_interface.fifo_data\[15\]\[27\],15.93µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[16\],15.93µm
net900,15.925µm
_01234_,15.92µm
_03887_,15.92µm
_04811_,15.92µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[21\],15.92µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[9\],15.9µm
_03584_,15.895µm
u_interface.fifo_data\[6\]\[11\],15.885µm
_04206_,15.88µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[2\],15.88µm
_01320_,15.86µm
_02599_,15.86µm
_04967_,15.86µm
_06051_,15.845µm
_01571_,15.84µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[20\],15.84µm
_02806_,15.83µm
_02932_,15.82µm
_06495_,15.81µm
_01662_,15.8µm
_03246_,15.8µm
_03575_,15.8µm
_02625_,15.78µm
_04306_,15.78µm
_04709_,15.78µm
_05296_,15.78µm
_06458_,15.78µm
u_interface.fifo_data\[6\]\[28\],15.765µm
_01717_,15.76µm
_05837_,15.76µm
_06435_,15.76µm
_02796_,15.74µm
_02897_,15.74µm
_05106_,15.74µm
_05434_,15.74µm
_05965_,15.74µm
u_interface.fifo_data\[12\]\[26\],15.74µm
net176,15.74µm
_01257_,15.7µm
_01387_,15.7µm
_03550_,15.7µm
u_interface.fifo_data\[7\]\[22\],15.7µm
net1521,15.7µm
_01414_,15.68µm
_02956_,15.68µm
_03183_,15.68µm
u_interface.fifo_data\[11\]\[12\],15.68µm
u_interface.fifo_data\[11\]\[1\],15.68µm
u_interface.fifo_data\[11\]\[5\],15.68µm
u_interface.fifo_data\[12\]\[29\],15.68µm
u_interface.fifo_data\[7\]\[16\],15.68µm
_00028_,15.675µm
_05913_,15.66µm
_01876_,15.65µm
_05292_,15.645µm
u_interface.fifo_data\[6\]\[16\],15.645µm
_00850_,15.64µm
_01869_,15.64µm
_05064_,15.64µm
_01218_,15.62µm
_01314_,15.62µm
_01987_,15.62µm
_03772_,15.62µm
_04544_,15.62µm
_04812_,15.62µm
_03504_,15.61µm
_00810_,15.605µm
_05374_,15.6µm
u_interface.fifo_data\[13\]\[25\],15.6µm
net1619,15.58µm
_01902_,15.57µm
_01628_,15.56µm
_02232_,15.56µm
_03543_,15.56µm
_04166_,15.56µm
_04917_,15.545µm
_01315_,15.54µm
_03347_,15.54µm
_04476_,15.54µm
_04808_,15.54µm
_04816_,15.54µm
_03966_,15.52µm
_04645_,15.52µm
_05911_,15.52µm
_06042_,15.52µm
u_interface.fifo_data\[7\]\[14\],15.52µm
u_interface.fifo_tlast\[9\],15.52µm
net34,15.52µm
u_interface.fifo_data\[10\]\[13\],15.51µm
_00836_,15.505µm
_01300_,15.5µm
_01347_,15.5µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[26\],15.5µm
net135,15.5µm
u_interface.fifo_data\[7\]\[6\],15.495µm
_01671_,15.46µm
_03884_,15.46µm
u_interface.fifo_data\[9\]\[4\],15.46µm
u_interface.fifo_data\[6\]\[5\],15.45µm
_01810_,15.44µm
_02107_,15.44µm
_03588_,15.44µm
u_interface.fifo_data\[14\]\[6\],15.41µm
_03918_,15.405µm
_01693_,15.4µm
_03077_,15.4µm
_05116_,15.4µm
_05936_,15.4µm
u_interface.fifo_tuser\[15\],15.4µm
_01333_,15.38µm
_01442_,15.38µm
_04670_,15.38µm
_01781_,15.36µm
u_interface.fifo_data\[10\]\[21\],15.35µm
u_interface.fifo_data\[6\]\[17\],15.345µm
_04503_,15.34µm
_04793_,15.34µm
_06494_,15.34µm
_03156_,15.32µm
_03602_,15.32µm
_03989_,15.32µm
_04194_,15.32µm
_04832_,15.32µm
u_interface.fifo_data\[11\]\[8\],15.32µm
u_interface.fifo_data\[10\]\[30\],15.305µm
u_interface.fifo_data\[2\]\[23\],15.305µm
_02882_,15.3µm
_05387_,15.3µm
_06375_,15.3µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[10\],15.3µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[11\],15.3µm
_02864_,15.28µm
u_interface.fifo_data\[5\]\[10\],15.28µm
net1742,15.28µm
_04010_,15.27µm
_01258_,15.26µm
_03558_,15.26µm
u_interface.fifo_data\[12\]\[6\],15.26µm
_02935_,15.24µm
_03240_,15.24µm
_03513_,15.24µm
_04346_,15.24µm
_05981_,15.24µm
_03339_,15.22µm
u_interface.fifo_data\[14\]\[23\],15.22µm
u_interface.fifo_data\[5\]\[15\],15.22µm
net1316,15.22µm
_02353_,15.19µm
u_interface.fifo_data\[6\]\[14\],15.185µm
_01865_,15.18µm
_04040_,15.18µm
_04097_,15.18µm
_06104_,15.18µm
u_interface.fifo_data\[0\]\[26\],15.18µm
u_interface.fifo_data\[11\]\[18\],15.18µm
u_interface.fifo_data\[9\]\[10\],15.18µm
_01397_,15.16µm
_05461_,15.16µm
net1182,15.16µm
u_interface.fifo_data\[15\]\[17\],15.14µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[28\],15.14µm
_00817_,15.1µm
_02003_,15.1µm
_02227_,15.1µm
_02723_,15.1µm
_04819_,15.1µm
_05307_,15.1µm
_06199_,15.1µm
u_interface.fifo_data\[12\]\[17\],15.1µm
u_interface.fifo_data\[2\]\[31\],15.1µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[18\],15.1µm
net1516,15.1µm
_04008_,15.08µm
_04641_,15.08µm
_04952_,15.08µm
_05640_,15.08µm
_01926_,15.075µm
_01798_,15.06µm
_04571_,15.06µm
_02329_,15.04µm
_03212_,15.04µm
_03411_,15.02µm
_04333_,15.02µm
_02159_,15µm
_06395_,15µm
u_interface.fifo_tlast\[6\],14.99µm
_03058_,14.98µm
_03174_,14.98µm
_03608_,14.98µm
_03953_,14.98µm
_04963_,14.98µm
s_axil_awaddr[24],14.98µm
u_interface.fifo_data\[2\]\[6\],14.965µm
_01336_,14.96µm
_02659_,14.96µm
u_interface.fifo_data\[6\]\[13\],14.945µm
u_interface.fifo_data\[6\]\[18\],14.945µm
_01531_,14.94µm
_01794_,14.94µm
_02187_,14.94µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[12\],14.94µm
net144,14.94µm
_05200_,14.935µm
_01783_,14.92µm
_03060_,14.92µm
_03500_,14.92µm
_05078_,14.92µm
_05643_,14.92µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[4\],14.92µm
net1788,14.92µm
_04139_,14.9µm
_05393_,14.9µm
_05487_,14.9µm
u_interface.fifo_data\[4\]\[30\],14.89µm
_01729_,14.88µm
_02146_,14.88µm
_06041_,14.88µm
net132,14.88µm
_00823_,14.865µm
_03009_,14.865µm
_01242_,14.86µm
_02267_,14.86µm
_02834_,14.86µm
_03032_,14.86µm
_03586_,14.86µm
_03616_,14.86µm
u_interface.fifo_tlast\[1\],14.86µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[0\],14.86µm
_01394_,14.84µm
_01815_,14.84µm
_05980_,14.84µm
u_interface.fifo_data\[14\]\[10\],14.83µm
_01202_,14.82µm
_02775_,14.82µm
_04478_,14.82µm
_05706_,14.82µm
u_interface.fifo_tuser\[2\],14.81µm
_05841_,14.805µm
_03222_,14.8µm
_05036_,14.8µm
u_interface.fifo_data\[11\]\[26\],14.8µm
u_interface.fifo_data\[12\]\[30\],14.8µm
_02275_,14.78µm
_02579_,14.78µm
_03776_,14.78µm
_05342_,14.78µm
_05480_,14.78µm
_05551_,14.78µm
_06222_,14.77µm
_01785_,14.765µm
_01115_,14.76µm
_03063_,14.76µm
_04081_,14.76µm
u_interface.fifo_data\[1\]\[9\],14.76µm
u_interface.fifo_tuser\[13\],14.76µm
_06473_,14.74µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[10\],14.74µm
_03714_,14.72µm
u_interface.fifo_data\[13\]\[5\],14.72µm
u_interface.fifo_tuser\[7\],14.72µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[40\],14.72µm
_01822_,14.7µm
net59,14.7µm
_02921_,14.68µm
_03613_,14.68µm
_03766_,14.68µm
_05969_,14.68µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[55\],14.68µm
_01534_,14.66µm
_04115_,14.66µm
_04200_,14.66µm
u_interface.fifo_data\[4\]\[25\],14.66µm
u_interface.fifo_data\[5\]\[9\],14.66µm
net1558,14.66µm
net1575,14.66µm
_01215_,14.64µm
_02131_,14.64µm
_03288_,14.64µm
_03862_,14.64µm
_04416_,14.64µm
_00737_,14.625µm
